employee_id,first_name,last_name,email,gender,department,job_title,hire_date,exit_date,is_active,salary,currency,country,state,city,manager_id,performance_score
1035, Bob ,Pillay ,bob.pillay@example,M,HR,Senior Analyst,20/02/2018,,True,10227.02,USD,U.K.,Gauteng,Johannesburg,1013,B
1036, Ken,Ndlovu ,ken.ndlovu@mail.com,Other,Operations,HR Officer,06-16-2015,,True,27054.09,USD,UK,KZN,Durban,,C
1037,Isaac,Pillay,isaac.pillay@mail.com,Other,Ops,Accountant,05-03-2019,,TRUE,20549.36,£,United Kingdom,,,1016,D
1038,Liam,Brown ,liam.brown@mail.com,Female,Human Resources,Analyst,05-27-2020,,True,"52,543.71",ZAR,U.K.,Limpopo,,,D
1039,Oscar,Mthembu ,oscar.mthembu@company.co.za,Male,FIN,Clerk,2017-11-06,2019/04/22,,56193.93,ZAR,U.K.,KZN,Cape Town,1015,D
1040,Bob ,Dlamini,bob.dlamini@example,Other,HR,Data Scientist,11/08/2017,2022/05/02,,31047.03,$,United Kingdom,,Johannesburg,1039,B
1041, Bob,Ndlovu,bob.ndlovu@mail.com,F,HR,Engineer,02-16-2015,,False,360710.4,$,south-africa,Limpopo,Johannesburg,1036,A
1042, Una ,Naidoo ,una.naidoo@company.co.za,Female,Eng,Analyst,07-03-2018,,True,32840.16,R,U.K.,,Polokwane,1001,D
1043,David ,Nguyen ,david.nguyen@example,Male,H.R.,Analyst,07-31-2015,,True,41816.74,R,SA,KZN,Durban,1011,D
1044,Pat ,Brown,pat.brown@example.com,Female,Sales,Clerk,08-07-2015,2019/09/03,,25965.95,R,U.K.,,,1031,A
1045,Mai ,Khan ,mai.khan@example.com,Other,Ops,Engineer,06-18-2015,,False,14499.93,£,United Kingdom,,Polokwane,1016,D
1046,Que,Zuma,que.zuma@example,F,Sales,Accountant,01-05-2017,2019/02/08,,13362.82,ZAR,South Africa,,Cape Town,1021,A
1047, Bob,Brown,bob.brown@example.com,F,Ops,Senior Analyst,04/03/2017,,False,39597.46,£,ZA,Gauteng,,1017,C
1048, Chad,Nguyen ,chad.nguyen@example,M,FIN,Sales Rep,2017-08-30,2018/08/25,,61971.14,USD,south-africa,,Johannesburg,1024,
1049,Que ,Mthembu ,que.mthembu@company.co.za,F,Engineering,Manager,2019-01-15,2022/07/28,,-38232.94,£,UK,,Johannesburg,1015,D
1050, Nia,Khan,nia.khan@example,Female,Information Technology,Analyst,02/04/2015,,False,28704.74,GBP,United Kingdom,,Cape Town,1040,B
1051,Alice,Brown ,alice.brownexample.com,F,H.R.,Data Scientist,07-05-2019,2024/03/11,,57944.23,GBP,USA,Western Cape,Cape Town,999999,A
1052,Mai,Naidoo,mai.naidooexample.com,M,sales,Engineer,08-05-2016,,False,37847.62,USD,South Africa,,,999999,D
1053, Chipo,van Wyk,chipo.van wyk@example.com,F,Information Technology,Analyst,05-19-2016,,False,36217.21,$,United States,KZN,Durban,1014,A
1054,Faith,Pillay,faith.pillay@company.co.za,M,Eng,Clerk,09-28-2021,,False,"38,030.93",ZAR,U.K.,,Cape Town,1020,
1055,Sam,Dlamini,sam.dlamini@example.com,Male,IT,Manager,11-13-2018,2019/09/22,,33411.47,ZAR,UK,Western Cape,,,D
1056,David,Nkosi,david.nkosiexample.com,Other,Operations,Senior Analyst,01-30-2022,2026/08/08,,31286.28,ZAR,UK,KZN,Durban,1049,
1057, Que,Zuma ,que.zuma@example.com,M,Operations,Senior Analyst,2018-11-21,,True,17780.44,GBP,ZA,KZN,,999999,A
1058,Pat ,van Wyk ,pat.van wyk@company.co.za,Male,H.R.,Data Scientist,2017-05-29,2021/01/21,,41019.49,ZAR,UK,KZN,Johannesburg,1026,D
1059,Chad ,Govender,chad.govender@company.co.za,F,sales,Sales Rep,12-01-2016,2019/08/01,,33862.69,ZAR,UK,,Durban,1056,C
1060, Faith ,Zuma,faith.zuma@mail.com,Male,Information Technology,Engineer,09-10-2020,,TRUE,49317.03,GBP,United States,KZN,Cape Town,1013,B
1061,Vin ,Dlamini,vin.dlamini@mail.com,Male,Ops,Data Scientist,2019-11-17,,False,"30,574.18",$,U.K.,,Cape Town,1041,B
1062, Isaac,Mthembu,isaac.mthembu@example,M,IT,HR Officer,07-25-2017,,TRUE,12123.56,USD,United Kingdom,,,1027,B
1063, Isaac ,Nguyen ,isaac.nguyen@example.com,Female,Eng,Sales Rep,07-28-2022,,False,33804.67,ZAR,South Africa,KZN,Pretoria,1046,
1064, Liam,Dlamini ,liam.dlamini@example.com,Male,Engineering,Sales Rep,11-05-2018,2022/10/06,,55394.45,GBP,UK,,Johannesburg,1025,A
1065, Nia ,Smith,nia.smith@mail.com,Female,Eng,Sales Rep,06-15-2017,,TRUE,30398.92,£,ZA,Limpopo,,1029,C
1066, Vin ,Govender ,vin.govender@mail.com,F,Sales,Clerk,08-01-2017,,False,24321.72,USD,UK,Western Cape,,1062,A
1067,Vin ,Ndlovu ,vin.ndlovu@example.com,M,IT,Clerk,07-29-2016,,True,20676.9,GBP,south-africa,,Cape Town,,C
1068,Zed ,Naidoo,zed.naidoo@example.com,Female,sales,Data Scientist,2017-03-19,2021/12/31,,22399.8,R,SA,Limpopo,Polokwane,1062,D
1069,Henry,Zuma,henry.zuma@company.co.za,Male,IT,Accountant,06-18-2022,,True,31397.68,ZAR,South Africa,,,,
1070,Pat,Zuma,pat.zuma@example,F,Engineering,Senior Analyst,05-23-2022,,TRUE,20840.21,ZAR,United Kingdom,KZN,Durban,,C
1071, Bea,Khan ,bea.khan@example.com,M,Engineering,Data Scientist,06-06-2016,,True,52971.67,GBP,South Africa,Limpopo,Durban,1006,
1072,Yara ,Govender,yara.govender@example.com,Male,Information Technology,Accountant,2022-01-05,2022/04/20,,"31,608.38",R,United Kingdom,,,1039,C
1073,Alice ,Smith,alice.smith@example.com,Male,Eng,HR Officer,03/01/2020,,TRUE,"36,303.78",£,USA,Western Cape,Cape Town,999999,A
1074,Grace,Nguyen ,grace.nguyen@example.com,Male,IT,Engineer,2020-01-21,2024/06/23,,52258.87,USD,United States,,Polokwane,1033,A
1075,Alice,Moyo ,alice.moyo@company.co.za,M,IT,Manager,06-15-2020,,False,53039.82,ZAR,UK,,Cape Town,1054,C
1076, Zed ,Brown ,zed.brown@example.com,Other,Information Technology,Clerk,2021-10-17,2026/07/18,,32447.2,£,U.K.,,,,A
1077, Ken ,Pillay,ken.pillay@example.com,M,H.R.,Manager,01-26-2018,,False,38983.69,$,ZA,,Cape Town,1008,B
1078,Isaac ,Mthembu ,isaac.mthembu@example.com,Other,Engineering,Senior Analyst,08-11-2017,,False,43820.32,R,south-africa,Western Cape,,1047,D
1079,Yara,Khan,yara.khan@example,Other,Human Resources,Clerk,2022-02-04,,True,"32,685.73",ZAR,ZA,,Polokwane,1028,D
1080,David ,Zuma,david.zuma@company.co.za,F,H.R.,HR Officer,09/12/2015,2018/02/03,,13663.85,ZAR,U.K.,Gauteng,,,B
1081, Una,Dlamini ,una.dlamini@mail.com,Female,Finance,Engineer,06/12/2016,,False,"42,856.47",ZAR,United Kingdom,,,1062,C
1082,Yara ,Moyo ,yara.moyo@example.com,Female,Engineering,Data Scientist,17/05/2019,,TRUE,45732.23,ZAR,USA,,Cape Town,1021,A
1083, Tari,Nguyen ,tari.nguyen@example.com,Female,Eng,Analyst,17/01/2022,,False,39986.03,R,UK,Western Cape,,1058,D
1084, Bea ,Naidoo ,bea.naidoo@mail.com,Female,FIN,Data Scientist,2018-10-02,2021/05/23,,"23,917.46",£,ZA,,Polokwane,,C
1085,Nia,Pillay,nia.pillay@example,Female,H.R.,Analyst,17/04/2018,,False,"32,647.67",ZAR,United States,KZN,Cape Town,1006,C
1086,Sam,Naidoo,sam.naidoo@mail.com,Male,Human Resources,Senior Analyst,10-28-2021,2022/09/03,,27910.76,R,South Africa,Gauteng,,1053,
1087, Zed ,Ndlovu ,zed.ndlovuexample.com,Other,Operations,Accountant,2016-06-29,2021/03/28,,-31403.47,ZAR,UK,,Polokwane,,B
1088, Abel ,Nguyen,abel.nguyen@company.co.za,Female,Ops,Accountant,01-03-2020,,True,50562.62,R,south-africa,KZN,Durban,999999,C
1089, Alice,Nguyen ,alice.nguyen@example.com,Female,Human Resources,Manager,07-05-2015,,False,53354.96,GBP,ZA,Western Cape,Cape Town,1060,A
1090, Una,Smith ,una.smith@example.com,Male,Engineering,HR Officer,09-11-2017,,False,"43,033.02",GBP,SA,,Durban,1055,C
1091,David,Khan ,david.khan@example,F,Information Technology,Analyst,12/07/2017,,False,41584.94,ZAR,South Africa,,Pretoria,1087,A
1092, Tari,Dlamini,tari.dlamini@example,M,HR,Data Scientist,04-08-2016,2019/09/07,,"43,119.55",GBP,United States,Western Cape,Polokwane,1017,
1093,Jane,Pillay ,jane.pillay@example,M,IT,Engineer,04-17-2022,,False,34853.09,R,UK,Western Cape,Cape Town,1050,A
1094,Liam ,Naidoo ,liam.naidoo@example,Female,Finance,Data Scientist,2015-08-22,2020/08/09,,34092.04,USD,south-africa,,Cape Town,,D
1095, Ken,Govender,ken.govender@company.co.za,M,sales,Senior Analyst,04-30-2020,,TRUE,26916.26,GBP,south-africa,Limpopo,Polokwane,,C
1096,Bea ,Mthembu ,bea.mthembu@example,M,Engineering,Data Scientist,12-16-2018,,False,-34329.59,$,USA,KZN,Cape Town,1019,
1097, Henry ,Dlamini,henry.dlamini@company.co.za,M,Eng,Analyst,15/04/2015,,False,62119.36,GBP,U.K.,,,1088,C
1098, Bob ,Mthembu,bob.mthembu@example.com,Other,Human Resources,HR Officer,03-14-2019,,TRUE,45428.47,$,UK,,Pretoria,1012,C
1099, Chipo,Nguyen,chipo.nguyen@company.co.za,Male,sales,HR Officer,2022-01-28,,TRUE,30894.6,ZAR,UK,,,1006,A
1100,Jane ,van Wyk ,jane.van wyk@example.com,F,Information Technology,Analyst,03-16-2017,,TRUE,"29,336.88",R,United States,,Johannesburg,1010,D
1101, Abel,Zuma,abel.zuma@company.co.za,F,Finance,Clerk,2018-02-02,2021/06/08,,"24,626.12",R,U.K.,,,,B
1102,Henry,Nkosi,henry.nkosicompany.co.za,Female,Sales,Data Scientist,09-10-2019,,True,39492.44,R,U.K.,KZN,Polokwane,,A
1103, Faith ,Naidoo,faith.naidoo@example.com,M,FIN,HR Officer,04-19-2021,,False,"39,698.55",USD,United States,Western Cape,Polokwane,1037,A
1104,Isaac ,Govender,isaac.govender@mail.com,M,Human Resources,Engineer,01-09-2018,,False,17682.54,USD,ZA,,Polokwane,1075,
1105, Grace,Nkosi ,grace.nkosi@example,Male,Engineering,Sales Rep,10-05-2017,2022/01/19,,40836.02,$,South Africa,,,999999,B
1106,Yara ,Nguyen,yara.nguyenexample.com,Other,Engineering,Sales Rep,05-01-2018,2020/01/11,,28166.33,$,SA,KZN,Cape Town,1087,D
1107, Alice,Govender ,alice.govender@company.co.za,F,Human Resources,Manager,08/04/2018,,TRUE,"416,965.20",R,U.K.,Western Cape,,1049,C
1108,Una,Govender ,una.govender@company.co.za,Other,Information Technology,Clerk,04/01/2015,,False,36882.13,£,South Africa,Western Cape,,1102,A
1109, Nia,van Wyk ,nia.van wyk@example.com,F,Eng,Accountant,10-25-2018,,False,55612.76,£,United States,Western Cape,Polokwane,1006,C
1110,Faith,Khan ,faith.khan@mail.com,Other,H.R.,Clerk,2018-11-23,,TRUE,29502.48,£,ZA,Gauteng,Pretoria,1018,C
1111,Esi,van Wyk ,esi.van wyk@example.com,Male,Operations,Manager,08-05-2022,,False,31544.19,USD,USA,Western Cape,Johannesburg,1036,C
1112,Oscar ,Dlamini ,oscar.dlamini@example,F,FIN,Manager,02/04/2021,2025/07/16,,38597.7,USD,south-africa,,Polokwane,,C
1113,Alice ,Ndlovu ,alice.ndlovumail.com,Other,Ops,Analyst,04-14-2015,,TRUE,47671.38,£,SA,Gauteng,,1040,D
1114, Faith ,Govender,faith.govender@company.co.za,Male,Engineering,Data Scientist,07/09/2017,2022/04/08,,41790.59,R,USA,Limpopo,Polokwane,1039,B
1115,Will,Nkosi ,will.nkosi@example,Male,HR,Accountant,05-17-2020,2025/03/04,,"20,197.71",ZAR,South Africa,,,1044,B
1116,Chad ,van Wyk ,chad.van wyk@example.com,Other,IT,Clerk,2021-05-13,,False,37194.81,R,U.K.,,Pretoria,1104,
1117, Vin ,Pillay ,vin.pillay@mail.com,Male,Engineering,Sales Rep,08/02/2022,2025/12/28,,35266.94,GBP,U.K.,KZN,Pretoria,1057,B
1118,Faith,Nkosi ,faith.nkosi@example.com,Male,Information Technology,Data Scientist,12-14-2022,2026/03/30,,29851.18,$,south-africa,Limpopo,Cape Town,,
1119, David,Zuma,david.zuma@example,Male,H.R.,Clerk,09/12/2021,2021/09/10,,27222.74,£,SA,Limpopo,Johannesburg,1112,C
1120, Faith,Ndlovu ,faith.ndlovu@example.com,F,sales,Sales Rep,2019-01-02,,True,55970.93,ZAR,ZA,KZN,Durban,999999,D
1121,David ,Brown,david.brown@example.com,M,H.R.,Manager,03-20-2021,,TRUE,30315.36,USD,USA,Gauteng,Johannesburg,1020,A
1122,Zed,Nguyen,zed.nguyen@example,Other,H.R.,Accountant,05-31-2019,,False,24848.93,GBP,South Africa,Western Cape,Cape Town,,
1123, Oscar ,Smith,oscar.smith@company.co.za,Female,Engineering,Engineer,03-26-2015,,TRUE,42645.35,ZAR,United States,KZN,Durban,1068,A
1124,Rae,Brown ,rae.brown@example.com,M,FIN,Engineer,08-01-2016,,False,36567.48,GBP,U.K.,KZN,Johannesburg,1086,
1125,Liam ,Nkosi,liam.nkosi@mail.com,Male,Information Technology,Accountant,07-17-2019,,TRUE,34090.23,USD,United States,,Durban,1025,
1126, Faith ,Pillay ,faith.pillay@example,F,Human Resources,Accountant,2018-07-31,,True,44375.62,ZAR,ZA,Gauteng,Polokwane,1115,A
1127,Grace,Nkosi,grace.nkosiexample.com,Female,IT,Clerk,13/07/2016,,True,40863.5,USD,South Africa,,Polokwane,1087,A
1128,Bea,Smith ,bea.smith@example,Male,Eng,Data Scientist,2020-03-12,,False,39346.28,USD,SA,Gauteng,Johannesburg,1019,C
1129, Abel ,Ndlovu,abel.ndlovu@company.co.za,Other,IT,Data Scientist,2022-12-24,,False,46570.41,USD,SA,KZN,Johannesburg,1026,B
1130, Una,Nkosi,una.nkosi@mail.com,M,sales,Sales Rep,2017-04-19,,False,38403.64,R,United States,Gauteng,Durban,1063,B
1131, Una ,Ndlovu,una.ndlovu@company.co.za,Male,HR,Senior Analyst,2022-05-27,,False,27596.94,$,U.K.,Limpopo,,999999,C
1132,Will,Smith ,will.smith@mail.com,Female,Eng,Data Scientist,05-07-2018,,TRUE,30652.61,R,United Kingdom,KZN,Johannesburg,1125,B
1133, Ken,Govender,ken.govender@mail.com,Female,Ops,Clerk,07-09-2015,2020/06/11,,28748.33,R,South Africa,Western Cape,Durban,1091,D
1134,Vin ,Smith ,vin.smith@example,F,HR,Engineer,04-04-2017,2020/03/02,,37516.66,ZAR,UK,Gauteng,Johannesburg,1125,D
1135,Alice,Naidoo,alice.naidoo@company.co.za,Other,Human Resources,Clerk,05-31-2017,2017/11/25,,"22,064.18",ZAR,ZA,,Johannesburg,1093,A
1136, Una ,Zuma ,una.zuma@company.co.za,Female,Engineering,Sales Rep,2019-09-13,,False,13010.89,R,United States,KZN,,1097,A
1137,Chipo,Nguyen ,chipo.nguyen@company.co.za,Male,Sales,Sales Rep,06-29-2022,2026/10/04,,36057.86,$,ZA,,,1097,D
1138, Que,Pillay,que.pillay@company.co.za,M,Sales,Clerk,11-08-2020,,True,18961.75,GBP,SA,KZN,Cape Town,1040,B
1139,Una ,Nguyen ,una.nguyen@company.co.za,Female,Eng,Senior Analyst,2019-08-07,2021/09/05,,11576.26,USD,U.K.,KZN,Polokwane,1116,
1140,Esi ,Moyo ,esi.moyo@mail.com,M,sales,Clerk,04-11-2019,2020/10/23,,39479.97,USD,United Kingdom,Western Cape,Durban,,A
1141, Grace ,Naidoo ,grace.naidoo@example.com,Male,Eng,Clerk,2015-06-21,,False,26467.36,GBP,ZA,,Pretoria,1053,A
1142, Yara ,Zuma ,yara.zuma@example,Female,Information Technology,Analyst,03-17-2016,,False,40953.51,$,U.K.,Limpopo,Cape Town,1003,D
1143, Rae ,Moyo ,rae.moyo@example,Female,Finance,Senior Analyst,2021-05-27,2025/09/15,,28629.75,USD,USA,Gauteng,Pretoria,1107,D
1144,Abel ,Moyo ,abel.moyo@mail.com,F,HR,Manager,2021-01-16,,False,21536.45,$,South Africa,KZN,Durban,1098,C
1145,Jane,Nkosi,jane.nkosi@company.co.za,Female,Information Technology,Accountant,12-17-2022,,TRUE,20077.79,£,UK,Gauteng,Pretoria,999999,D
1146,Jane ,Nkosi ,jane.nkosi@example,Other,Finance,Analyst,01-07-2017,2021/12/08,,"28,820.87",£,United States,,,1057,B
1147,Rae,Nguyen,rae.nguyen@example.com,Female,Finance,Senior Analyst,07-26-2015,,False,"31,719.41",£,SA,Gauteng,Cape Town,,
1148,Zed ,Ndlovu ,zed.ndlovu@company.co.za,Male,Finance,Manager,06-18-2022,2024/09/03,,25118.48,R,USA,Western Cape,,1086,A
1149,Abel,Ndlovu,abel.ndlovu@company.co.za,Female,HR,Accountant,2016-01-16,,True,31626.71,R,United Kingdom,Gauteng,Pretoria,1001,C
1150, Bob ,Naidoo ,bob.naidoo@example,F,Ops,Clerk,02/01/2017,,True,16566.77,ZAR,SA,,Polokwane,999999,A
1007, David,Zuma,david.zuma@example.com,M,Sales,Manager,2016-03-26,2017/02/28,,"34,989.32",R,U.K.,Western Cape,,1003,A
1004, Sam ,Brown ,sam.brown@example,M,Sales,Senior Analyst,01-19-2016,,True,39890.2,£,USA,KZN,,1003,C
1114, Faith ,Govender,faith.govender@company.co.za,Male,Engineering,Data Scientist,07/09/2017,2022/04/08,,41790.59,R,USA,Limpopo,Polokwane,1039,B
1013,Que ,Khan,que.khan@example.com,F,H.R.,Manager,08-02-2016,,False,41063.59,ZAR,United States,Gauteng,Cape Town,1001,D
1025, Abel ,Khan ,abel.khan@mail.com,M,Finance,Senior Analyst,09/07/2021,,False,34455.37,GBP,United Kingdom,Gauteng,,1016,D
